City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,moissala,8.3404,17.7663,71.1,94,96,0.85,TD,1725149068
337,rikaze,29.25,88.8833,57.6,56,100,2.17,CN,1725149070
338,chillicothe,39.3331,-82.9824,79.11,57,40,5.75,US,1725148910
339,flin flon,54.7682,-101.865,66.04,42,75,11.5,CA,1725149072
340,huarmey,-10.0681,-78.1522,62.55,83,8,9.73,PE,1725149073
341,kashgar,39.4547,75.9797,70.81,60,20,6.71,CN,1725149074
342,villa regina,-39.1,-67.0667,61.99,20,12,1.99,AR,1725149076
343,verkhnevilyuysk,63.4453,120.3167,49.82,56,27,3.67,RU,1725149077
344,yerofey pavlovich,53.9667,121.9667,58.42,56,18,1.97,RU,1725149078
345,mahajanga,-15.7167,46.3167,75.22,64,20,3.44,MG,1725149079
346,sipalay,9.75,122.5,75.69,97,100,4.38,PH,1725149080
347,benito juarez,19.385,-99.165,67.84,60,75,20.71,MX,1725149081
348,uttar char fasson,22.2332,90.7132,82.31,82,100,15.08,BD,1725149082
349,riyadh,24.6877,46.7219,86.63,19,7,4.94,SA,1725148804
350,pirallahi,40.4723,50.333,75.34,73,0,8.46,AZ,1725149085
351,namibe,-15.1961,12.1522,62.92,91,50,3.56,AO,1725149086
352,hirara,24.8,125.2833,85.86,89,20,6.91,JP,1725149087
353,la'ie,21.6477,-157.9253,89.56,80,13,10.0,US,1725149088
354,alvaraes,-3.2208,-64.8042,88.38,33,27,1.61,BR,1725149089
355,oswego,43.4501,-76.1497,71.74,98,100,2.46,US,1725149090
356,uyuni,-20.4597,-66.825,46.22,23,65,7.96,BO,1725149092
357,jaciara,-15.9653,-54.9683,82.22,23,1,0.02,BR,1725148984
358,harper,4.375,-7.7169,74.95,83,100,9.71,LR,1725149094
359,aykol,38.1751,77.2132,65.21,75,33,1.19,CN,1725149095
360,merizo village,13.2658,144.6691,88.36,81,96,4.32,GU,1725149096
361,dindima,10.2263,10.1513,70.11,97,43,2.77,NG,1725149097
362,humaita,-7.5061,-63.0208,83.71,29,9,2.04,BR,1725149023
363,jinchang,38.4953,102.1739,69.04,38,100,7.2,CN,1725149099
